Pattern String,classification
FREE SHIPPING ON ORDERS OVER $100!,0
SOME EXCLUSIONS APPLY - LEARN MORE,0
HAVE A QUESTION? - CONTACT US,0
WELCOME TO 034MOTORSPORT!,0
SHOP AUDISHOP VOLKSWAGENPERFORMANCE SOFTWARE034 APPARELLOCAL SERVICENEWSRESOURCES,0
SEARCH,0
HOME,0
/,0
"ADJUSTABLE SOLID REAR SWAY BAR, 8J/8P AUDI TT/TTS/TTRS & A3/S3/RS3, MKV/MKVI VOLKSWAGEN R32 & GOLF R",0
MORE VIEWS,0
,0
"ADJUSTABLE SOLID REAR SWAY BAR, 8J/8P AUDI TT/TTS/TTRS & A3/S3/RS3, MKV/MKVI VOLKSWAGEN R32 & GOLF R",0
$268.00,0
Starting at $25/mo with Affirm. Learn more,1
ORDER ONLINE!,0
4.6 star rating,0
8 Reviews,0
1 Questions \ 1 Answers,0
,0
,0
,0
SKU: 034-402-1002,0
Manufacturer: 034Motorsport,0
,0
,0
"034Motorsport is proud to offer the ultimate rear sway bar upgrade for the Audi 8J/8P TT/TTS/TTRS & Audi A3/S3/RS3 and MkV/MkVI Volkswagen R32 & Golf R! The 034Motorsport Adjustable Solid Rear Sway Bar is made from high-quality spring steel for maximum rigidity, and is designed to combat understeer while reducing body roll under hard cornering. This product was tested thoroughly on the street and track on the 034Motorsport Audi TT RS 2.5 TFSI before release. The 034Motorsport Adjustable Solid Rear Sway Bar substantially reduces understeer and body roll without compromising comfort on the street.",0
,0
Please Note: We highly recommend using this upgrade in conjunction with Spherical Rear Sway Bar End Links for maximum performance.,1
Qty:,0
ADD TO CART,0
Add to Wishlist,0
Share Facebook,1
Share on Twitter,1
RELATED PRODUCTS,0
Check items to add to the cart or select all,1
"SWAY BAR END LINKS, MOTORSPORT, REAR, ADJUSTABLE, 8P & 8J AUDI TT/A3, MKV & MKVI VOLKSWAGEN JETTA GTI R32 RABBIT",0
$184.00,0
"REBUILD KIT, ADJUSTABLE SOLID REAR SWAY BAR, 22.2MM",0
$22.00,0
ITEM DETAILS,0
,0
INSTALL GUIDE,0
,0
MORE INFO,0
,0
WE ALSO RECOMMEND,0
,0
REVIEWS,0
,0
PROP 65,0
,0
"034Motorsport is proud to offer the ultimate rear sway bar upgrade for the Audi 8J/8P TT/TTS/TTRS & Audi A3/S3/RS3 and MkV/MkVI Volkswagen R32 & Golf R! The 034Motorsport Adjustable Solid Rear Sway Bar is made from high-quality spring steel for maximum rigidity, and is designed to combat understeer while reducing body roll under hard cornering.",0
This product was tested thoroughly on the street and track on both the 034Motorsport Audi TT RS 2.5 TFSI and Nate@034's Audi A3 before release. The 034Motorsport Adjustable Solid Rear Sway Bar substantially reduces understeer and body roll on the Audi 8J/8P and MkV/MkVI Volkswagen R32 & Golf R without compromising comfort on the street.,0
"In addition, the 034Motorsport Rear Sway Bar is engineered to be used effectively with the stock front sway bar. No upgrade in the front is needed or required. The addition of a stiffer front bar introduces even more push, requiring an even bigger bar in the back.  With the stock front sway bar and upgraded 034Motorsport Solid Rear Sway Bar, body roll is virtually eliminated while turn in and off throttle oversteer are greatly improved.",0
"The sway bar rate is adjustable via the adjustment holes. The two holes closest to the MOI of the bar are the ""stiff"" (423% stiffer than stock) setting, and the two holes farther out are the ""soft"" (362% stiffer than stock) setting.",0
Features:,0
Adjustable - 362% or 423% Increased Sway Bar Rate vs. Stock TT RS Rear Sway Bar,0
22.25mm Diameter,0
Solid Spring Steel Construction,0
2-Hole Adjustable,0
Easy to Lubricate Sway Bar Bushings - Zerk Fittings Included,0
Designed to be used in conjunction with the stock front sway bar.,0
What's Included:,0
034Motorsport Adjustable Solid Rear Sway Bar,0
Graphite-Impregnated Urethane Bushings,0
Billet Aluminum Sway Bar Brackets with Lubrication Ports,0
Sway Bar Retaining Clips,0
Fitment:,0
2010 - 2013 Audi TT RS 2.5 TFSI (8J),0
2011 - 2013 Audi RS3 2.5 TFSI (8P),0
2006 - 2013 Audi TT/TTS Quattro (8J),0
Except 3.2L VR6 Models,0
2006 - 2013 Audi A3/S3 Quattro (8P),0
2008 Volkswagen R32 (MkV),0
2012 Volkswagen Golf R (MkVI),0
Installation Instructions:,0
Click Here!,1
Please Note:,0
This fits 4-Motion AWD & Quattro AWD vehicles only.,0
COMPANY,0
ABOUT US,0
CONTACT US,0
SERVICE DEPARTMENT,0
TERMS & CONDITIONS,0
PRIVACY POLICY,0
CAREERS AT 034,0
QUICK LINKS,0
SITE MAP,0
SEARCH TERMS,0
ADVANCED SEARCH,0
REQUEST RMA,0
DEALERS,0
ACCOUNT,0
MY ACCOUNT,0
ORDERS AND RETURNS,0
CONNECT WITH US,1
FACEBOOK,1
TWITTER,1
YOUTUBE,1
RSS,0
© 2005 - Present 034Motorsport. All Rights Reserved. 034Motorsport is not affiliated with any automobile manufacturers. Manufacturer names and/or part numbers are used solely for identification purposes.,0
PRODUCT CATEGORIES,0
Christmas,0
Tubes,0
LED Bulbs,0
Fixtures,0
Light Bulbs,0
Ballasts/Drivers,0
Electrical,0
Rope/Tape Light,0
Exit/Emergency,0
Smart Home,0
Horticulture,0
Landscape Lighting,0
Batteries,0
Plastics & Glass,0
Specialty Items,0
For Expert Help Call 1-800-624-4488,0
Search,0
Welcome to 1000Bulbs.com,0
( Login or Register ) Customer Service,1
Cart 0,0
 Trending Searches,1
175W MH Equal LED Wall Pack Only $66.49,1
Standard Shaped LEDs only $1.05/ea,1
LED Parking Lot Lights - Starting at $107.24,0
LED Corn Bulbs | HID,0
All Categories,0
Christmas,0
Tubes,0
LED Bulbs,0
Fixtures,0
Light Bulbs,0
Ballasts/Drivers,0
Electrical,0
Rope/Tape Light,0
Exit/Emergency,0
Clearance,1
Home,0
LED Light Bulbs,0
LED Light Bulbs - A19,0
LED Light Bulbs - 60 Watt Equal,0
LED Light Bulbs - 60 Watt Equal - 2700 Kelvin,0
LED A19 - 9 Watt - 60W Incandescent Equal,0
750 Lumens - 2700 Kelvin Soft White - PLT-11209,0
4.9,0
 ,0
-23,0
Write a review,0
Ask a question,0
This product is ineligible for shipping to the following states: CA,1
,0
"Keep the lights on longer with this PLT LED A19 light bulb and its bright, 60-Watt equivalent output. This standard bulb is applicable to sensitive light displays due to its very low heat generation.",0
,0
"UL approved for damp locations, can withstand outdoor humidity when protected from the elements",0
Long-life LEDs outlast outdated incandescent bulbs and save up to 85 percent in energy costs,0
Frosted plastic construction is shatter resistant,0
Color matched to incandescent bulbs,0
,0
View More Details,0
$0.99 ea.,0
Retail Price $1.99,0
Quantity,0
Add to Cart,1
SKU: PLT-11209,0
,0
Lighting can be confusing! Expert Help - Call Now,1
1-800-624-4488,0
PRODUCT DETAILS,0
REVIEWS,0
FAQ'S,0
Brochures & Spec Sheets,0
PLT-11209 Spec Sheet,0
PLT-11209 Warranty,0
Brand PLT,0
MPN (Part No.) PLT-11209,0
UPC 810665027874,0
Dimmable No,0
Energy Star No,0
Bulb Shape A19,0
Safety Rating UL Damp Location,0
CRI 80,0
Color Soft White,0
Color Temperature 2700 Kelvin,0
"Life Hours 10,000",0
Wattage 9 Watt,0
Incandescent Equal 60 Watt,0
Lumens 750,0
Enclosed Fixture Rated No,0
Voltage 120,0
Beam Angle 240 Degree,0
Base Type Medium (E26),0
Height 4.25 in.,0
Diameter 2.36 in.,0
Warranty 1 Year,0
Case Quantity 50,0
Lumens per Watt 83,0
This product is ineligible for shipping to the following states: CA,1
Description,0
,0
"Keep the lights on longer with this PLT LED A19 light bulb and its bright, 60-Watt equivalent output. This standard bulb is applicable to sensitive light displays due to its very low heat generation.",0
,0
"UL approved for damp locations, can withstand outdoor humidity when protected from the elements",0
Long-life LEDs outlast outdated incandescent bulbs and save up to 85 percent in energy costs,0
Frosted plastic construction is shatter resistant,0
Color matched to incandescent bulbs,0
   Changing The Way The World Buys Light Bulbs.,0
Sign Up For Deals,1
Stay Connected,1
Quick Links,0
Clearance,0
Coupons,0
All Categories,0
Shop By Brand,0
Lighting Resources,0
Help,0
See All Help,0
Returns,0
Shipping,0
Warranty,0
FAQ,0
Contact Us,0
Accessibility,0
Company,0
About Us,0
Press Releases,0
Employment,0
Other Links,0
Blog,0
DIY Projects,0
Adobe Reader,0
1000Bulbs.com is proud to offer our customers products that have earned the government's ENERGY STAR label.,1
,0
,0
,0
© 2019 1000Bulbs.com | All Rights Reserved.,0
"2140 Merritt Dr, Garland, TX 75041",0
Use of this site signifies your acceptance of 1000Bulbs.com Terms and Conditions and Privacy Policy,0
FREE USA DOMESTIC STANDARD SHIPPING | CA/UK/EU SHIPPING,1
,0
GET 2 FREE SAMPLES WITH ANY $45 PURCHASE,1
Search Button Desktop,0
Search,0
Search,0
"Hey, Gorgeous",1
,0
LOG IN OR REGISTER,1
,0
Purist Perks,0
Help,0
Cart,0
0,0
BEST SELLERS,1
FRUIT PIGMENTED® MAKEUP,0
SKIN CARE,0
HAIR & BODY,0
GIFTS,0
EXPLORE,0
SHOP PURISTRY,0
Home › Multi-Vitamin + Antioxidants Potent PM Serum,0
Multi-Vitamin + Antioxidants Potent PM Serum,0
Natural  Vegan  Cruelty Free Gluten Free,0
"Potent, stabilized vitamins in this PM serum work synergistically to reduce lines and wrinkles, increase firmness and elasticity, brighten and even skin tone.",0
542,0
$60.00,0
Wishlist,0
Wishlist,0
,0
or 4 interest-free installments of $15.00 USD by  More info,1
ADD TO TOTE,0
USE IT WITH,1
Restorative Sea Culture Hydrating Toner,0
$42.00,0
